Identificador,Fonte,Mês,Município,Código do município,Local do crime,Idade da vítima,Vínculo entre vítima e suspeito,Arma ou meio utilizado,Filhos dependentes (informação disponível?),Consumado,Tentado,Consumado ou Tentado,Idade do agressor,Período do dia
2025-BR-1782,Imprensa,4,imbituva,4110102,Residência do casal,NA,Parceiro/coabitante/vínculo sexual emocional,Arma de fogo,Incerto/Desconhecido,,2,Tentado,32,Incerto/Desconhecido
2025-BR-1792,Imprensa,5,cascavel,4104808,"Espaço público (rua, praça, parque, bar)",NA,Ex-companheiro/ex-coabitante,Atropelamento com veículo,Sim,,2,Tentado,27,Noite
2025-BR-1794,Imprensa,5,cascavel,4104808,"Espaço público (rua, praça, parque, bar)",33,Conhecido,Atropelamento com veículo,Incerto/Desconhecido,,2,Tentado,27,Noite
2025-BR-1816,Imprensa,5,curitiba,4106902,"Espaço público (rua, praça, parque, bar)",26,Outro vínculo,Arma branca,Sim,1,,Consumado,NA,Dia
2025-BR-1826,Imprensa,4,foz do iguacu,4108304,Casa do agressor,NA,Parceiro/coabitante/vínculo sexual emocional,Espancamento/golpes,Incerto/Desconhecido,1,,Consumado,37,Dia
2025-BR-1837,Imprensa,4,sapopema,4126207,"Espaço público (rua, praça, parque, bar)",28,Parceiro/coabitante/vínculo sexual emocional,Jogada/empurrada de altura,Incerto/Desconhecido,1,,Consumado,44,Incerto/Desconhecido
2025-BR-1839,Imprensa,5,ponta grossa,4119905,"Espaço público (rua, praça, parque, bar)",34,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Incerto/Desconhecido,,2,Tentado,45,Noite
2025-BR-1900,Imprensa,4,diamante d oeste,4107157,Casa da vítima,NA,Parceiro/coabitante/vínculo sexual emocional,Incerto/Desconhecido,Incerto/Desconhecido,1,,Consumado,NA,Dia
2025-BR-1920,Imprensa,5,campo largo,4104204,"Espaço público (rua, praça, parque, bar)",39,Parceiro/coabitante/vínculo sexual emocional,Atropelamento com veículo,Incerto/Desconhecido,1,,Consumado,44,Noite
2025-BR-1936,Imprensa,5,paicandu,4117503,Casa do agressor,26,Ex-companheiro/ex-coabitante,Arma branca,Sim,,2,Tentado,NA,Noite
2025-BR-2014,Imprensa,5,bom sucesso,4103206,Incerto/Desconhecido,63,Familiar direto,Outros,Não,1,,Consumado,46,Dia
2025-BR-2038,SINESP,4,carlopolis,4104709,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-2042,SINESP,4,castro,4104907,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-2142,SINESP,5,araucaria,4101804,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-2143,SINESP,4,medianeira,4115804,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-2144,SINESP,5,araucaria,4101804,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-2173,SINESP,4,paranacity,4118105,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-2175,SINESP,4,paranacity,4118105,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-2181,SINESP,4,piraquara,4119509,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-2186,SINESP,4,pontal do parana,4119954,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-2195,SINESP,5,cambe,4103701,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-2201,SINESP,5,campo largo,4104204,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-2220,SINESP,4,santa helena,4123501,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-2225,SINESP,5,curitiba,4106902,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-2395,SINESP,5,piraquara,4119509,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-2547,Imprensa,6,ivaipora,4111506,"Espaço público (rua, praça, parque, bar)",NA,Outro vínculo,Atropelamento com veículo,Incerto/Desconhecido,,2,Tentado,NA,Noite
2025-BR-2554,Imprensa,5,campo largo,4104204,Incerto/Desconhecido,40,Parceiro/coabitante/vínculo sexual emocional,Espancamento/golpes,Incerto/Desconhecido,,2,Tentado,NA,Noite
2025-BR-2564,Imprensa,5,nova esperanca,4116901,Residência do casal,51,Parceiro/coabitante/vínculo sexual emocional,Espancamento/golpes,Incerto/Desconhecido,1,,Consumado,40,Incerto/Desconhecido
2025-BR-2573,Imprensa,6,curitiba,4106902,Hotel/Motel/Pousada/Alojamento,24,Incerto/Desconhecido,Outros,Sim,1,,Consumado,NA,Incerto/Desconhecido
2025-BR-2579,Imprensa,6,maringa,4115200,Residência do casal,47,Parceiro/coabitante/vínculo sexual emocional,Fogo ou outros meios combustíveis,Incerto/Desconhecido,,2,Tentado,39,Noite
2025-BR-2583,Imprensa,6,ponta grossa,4119905,Casa da vítima,32,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,1,,Consumado,NA,Incerto/Desconhecido
2025-BR-2592,Imprensa,6,quatro barras,4120804,"Espaço público (rua, praça, parque, bar)",NA,Ex-companheiro/ex-coabitante,Arma branca,Sim,,2,Tentado,NA,Dia
2025-BR-2608,Imprensa,6,guarapuava,4109401,Residência do casal,24,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Incerto/Desconhecido,,2,Tentado,32,Dia
2025-BR-2627,Imprensa,6,rio branco do sul,4122206,Residência do casal,17,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Não,1,,Consumado,27,Incerto/Desconhecido
2025-BR-2638,Imprensa,5,cascavel,4104808,Incerto/Desconhecido,NA,Parceiro/coabitante/vínculo sexual emocional,Objetos contundentes,Incerto/Desconhecido,,2,Tentado,NA,Noite
2025-BR-2649,Imprensa,6,curitiba,4106902,"Espaço público (rua, praça, parque, bar)",55,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Incerto/Desconhecido,,2,Tentado,NA,Dia
2025-BR-2659,Imprensa,6,curitiba,4106902,Residência do casal,36,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Sim,1,,Consumado,40,Incerto/Desconhecido
2025-BR-2730,Imprensa,6,sao jose dos pinhais,4125506,Incerto/Desconhecido,44,Ex-companheiro/ex-coabitante,Incerto/Desconhecido,Não,1,,Consumado,54,Dia
2025-BR-2736,Imprensa,6,foz do iguacu,4108304,Incerto/Desconhecido,29,Incerto/Desconhecido,Espancamento/golpes,Incerto/Desconhecido,1,,Consumado,NA,Incerto/Desconhecido
2025-BR-2756,Imprensa,6,almirante tamandare,4100400,Incerto/Desconhecido,43,Parceiro/coabitante/vínculo sexual emocional,Espancamento/golpes,Incerto/Desconhecido,,2,Tentado,NA,Noite
2025-BR-2897,SINESP,6,araucaria,4101804,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-2899,SINESP,6,curiuva,4107009,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-2900,SINESP,6,laranjeiras do sul,4113304,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,1,,Consumado,NA,Incerto/Desconhecido
2025-BR-2901,SINESP,6,marechal candido rondon,4114609,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-2902,SINESP,6,marechal candido rondon,4114609,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-2903,SINESP,6,palotina,4117909,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,1,,Consumado,NA,Incerto/Desconhecido
2025-BR-2904,SINESP,6,paranagua,4118204,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-2905,SINESP,6,pitanga,4119608,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-2906,SINESP,6,santo antonio da platina,4124103,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-2908,SINESP,6,sertanopolis,4126504,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-2909,SINESP,6,sertanopolis,4126504,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-2910,SINESP,6,sao joao do caiua,4124905,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-2911,SINESP,6,sao joao do caiua,4124905,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-2993,SINESP,4,santa helena,4123501,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,1,,Consumado,NA,Incerto/Desconhecido
2025-BR-3024,Imprensa,5,curitiba,4106902,Casa do agressor,20,Conhecido,Asfixia/Estrangulamento,Não,1,,Consumado,NA,Dia
2025-BR-3026,Imprensa,5,realeza,4121406,Casa da vítima,NA,Familiar direto,Arma branca,Incerto/Desconhecido,,2,Tentado,22,Incerto/Desconhecido
2025-BR-3045,Imprensa,6,ibipora,4109807,Residência do casal,26,Parceiro/coabitante/vínculo sexual emocional,Objetos contundentes,Sim,,2,Tentado,25,Incerto/Desconhecido
2025-BR-3055,Imprensa,6,curitiba,4106902,Residência do casal,26,Parceiro/coabitante/vínculo sexual emocional,Espancamento/golpes,Incerto/Desconhecido,1,,Consumado,NA,Incerto/Desconhecido
2025-BR-3061,Imprensa,6,francisco beltrao,4108403,Residência do casal,NA,Familiar direto,Arma de fogo,Não,1,,Consumado,13,Dia
2025-BR-3099,Imprensa,8,andira,4101101,Incerto/Desconhecido,NA,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Sim,,2,Tentado,36,Incerto/Desconhecido
2025-BR-3112,Imprensa,8,arapongas,4101507,Casa da vítima,NA,Ex-companheiro/ex-coabitante,Fogo ou outros meios combustíveis,Incerto/Desconhecido,,2,Tentado,60,Incerto/Desconhecido
2025-BR-3213,Imprensa,8,cascavel,4104808,Casa da vítima,14,Familiar direto,Arma branca,Incerto/Desconhecido,1,,Consumado,19,Dia
2025-BR-3214,Imprensa,8,cascavel,4104808,Casa da vítima,31,Familiar direto,Arma branca,Sim,,2,Tentado,19,Dia
2025-BR-3250,Imprensa,8,curitiba,4106902,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-3262,Imprensa,8,entre rios do oeste,4107538,Casa da vítima,NA,Ex-companheiro/ex-coabitante,Arma branca,Incerto/Desconhecido,,2,Tentado,NA,Noite
2025-BR-3282,Imprensa,8,foz do iguacu,4108304,"Espaço público (rua, praça, parque, bar)",23,Incerto/Desconhecido,Arma de fogo,Sim,1,,Consumado,NA,Noite
2025-BR-3283,Imprensa,8,foz do iguacu,4108304,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-3298,Imprensa,8,guairaca,4108908,Residência do casal,28,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Incerto/Desconhecido,1,,Consumado,31,Incerto/Desconhecido
2025-BR-3312,Imprensa,8,ibipora,4109807,Incerto/Desconhecido,34,Ex-companheiro/ex-coabitante,Arma branca,Sim,1,,Consumado,NA,Dia
2025-BR-3327,Imprensa,8,irati,4110706,Casa da vítima,NA,Parceiro/coabitante/vínculo sexual emocional,Arma de fogo,Incerto/Desconhecido,1,,Consumado,NA,Noite
2025-BR-3342,Imprensa,8,jacarezinho,4111803,"Espaço público (rua, praça, parque, bar)",49,Ex-companheiro/ex-coabitante,Arma branca,Incerto/Desconhecido,,2,Tentado,58,Dia
2025-BR-3343,Imprensa,8,jacarezinho,4111803,"Espaço público (rua, praça, parque, bar)",23,Membro da família por afiliação,Arma branca,Incerto/Desconhecido,,2,Tentado,58,Dia
2025-BR-3366,Imprensa,8,laranjeiras,4113304,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-3374,Imprensa,8,lunardelli,4113759,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-3396,Imprensa,8,marechal candido rondon,4114609,Residência do casal,NA,Membro da família por afiliação,Arma branca,Incerto/Desconhecido,,2,Tentado,NA,Noite
2025-BR-3398,Imprensa,8,maria helena,4114708,Incerto/Desconhecido,28,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Incerto/Desconhecido,,2,Tentado,25,Dia
2025-BR-3399,SINESP,8,araucaria,4101804,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-3401,Imprensa,8,mariluz,4115101,Casa da vítima,46,Ex-companheiro/ex-coabitante,Arma branca,Incerto/Desconhecido,,2,Tentado,63,Noite
2025-BR-3402,SINESP,8,entre rios do oeste,4107538,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-3403,SINESP,8,francisco beltrao,4108403,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-3404,SINESP,8,loanda,4113502,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-3406,SINESP,8,londrina,4113700,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-3408,SINESP,8,matinhos,4115705,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-3410,SINESP,8,sabaudia,4122701,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-3432,Imprensa,8,nova esperanca do sudoeste,4116950,Incerto/Desconhecido,NA,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Incerto/Desconhecido,,2,Tentado,NA,Dia
2025-BR-3446,Imprensa,8,paicandu,4117503,Casa da vítima,48,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Incerto/Desconhecido,1,,Consumado,NA,Noite
2025-BR-3459,Imprensa,8,pato branco,4118501,Casa da vítima,NA,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Incerto/Desconhecido,,2,Tentado,NA,Noite
2025-BR-3486,Imprensa,8,ponta grossa,4119905,Casa da vítima,NA,Incerto/Desconhecido,Arma branca,Incerto/Desconhecido,,2,Tentado,NA,Dia
2025-BR-3550,Imprensa,8,santa mariana,4123907,Incerto/Desconhecido,21,Ex-companheiro/ex-coabitante,Arma branca,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-3583,Imprensa,8,sao jose dos pinhais,4125506,Residência do casal,28,Parceiro/coabitante/vínculo sexual emocional,Asfixia/Enforcamento,Incerto/Desconhecido,1,,Consumado,37,Noite
2025-BR-3621,Imprensa,8,siqueira campos,4126603,Casa da vítima,40,Ex-companheiro/ex-coabitante,Fogo ou outros meios combustíveis,Incerto/Desconhecido,,2,Tentado,NA,Dia
2025-BR-3936,SINESP,7,colombo,4105805,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-3937,SINESP,7,marechal candido rondon,4114609,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-3938,SINESP,7,pato branco,4118501,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,1,,Consumado,NA,Incerto/Desconhecido
2025-BR-3939,SINESP,7,sao pedro do iguacu,4125753,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-3940,Imprensa,7,francisco beltrao,4108403,Incerto/Desconhecido,52,Incerto/Desconhecido,Espancamento/golpes,Incerto/Desconhecido,,2,Tentado,48,Dia
2025-BR-3941,Imprensa,7,guarapuava,4109401,Residência do casal,26,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Sim,,2,Tentado,29,Dia
2025-BR-3942,Imprensa,7,colombo,4105805,Casa da vítima,17,Membro da família por afiliação,Arma branca,Não,1,,Consumado,42,Dia
2025-BR-3943,Imprensa,7,maringa,4115200,Casa da vítima,41,Ex-companheiro/ex-coabitante,Arma branca,Sim,,2,Tentado,NA,Dia
2025-BR-3944,Imprensa,7,curitiba,4106902,Incerto/Desconhecido,35,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Sim,,2,Tentado,35,Incerto/Desconhecido
2025-BR-3945,Imprensa,7,jacarezinho,4111803,"Espaço público (rua, praça, parque, bar)",23,Não se conheciam,Espancamento/golpes,Incerto/Desconhecido,,2,Tentado,NA,Noite
2025-BR-3946,Imprensa,7,boa esperanca,4103008,Incerto/Desconhecido,20,Parceiro/coabitante/vínculo sexual emocional,Arma de fogo,Incerto/Desconhecido,,2,Tentado,22,Incerto/Desconhecido
2025-BR-3947,Imprensa,7,curitiba,4106902,Hotel/Motel/Pousada/Alojamento,43,Conhecido,Arma branca,Incerto/Desconhecido,1,,Consumado,50,Dia
2025-BR-3948,Imprensa,7,curitiba,4106902,Casa da vítima,61,Ex-companheiro/ex-coabitante,Arma de fogo,Incerto/Desconhecido,,2,Tentado,50,Noite
2025-BR-3949,Imprensa,7,londrina,4113700,Casa da vítima,NA,Ex-companheiro/ex-coabitante,Arma branca,Sim,,2,Tentado,55,Incerto/Desconhecido
2025-BR-3950,Imprensa,7,curitiba,4106902,Residência do casal,27,Parceiro/coabitante/vínculo sexual emocional,Arma de fogo,Incerto/Desconhecido,1,,Consumado,30,Incerto/Desconhecido
2025-BR-3951,Imprensa,7,pato branco,4118501,Casa da vítima,NA,Ex-companheiro/ex-coabitante,Arma de fogo,Incerto/Desconhecido,,2,Tentado,NA,Dia
2025-BR-3952,Imprensa,7,sarandi,4126256,Residência do casal,37,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Incerto/Desconhecido,,2,Tentado,38,Incerto/Desconhecido
2025-BR-3953,Imprensa,7,colombo,4105805,Casa da vítima,59,Familiar direto,Incerto/Desconhecido,Não,1,,Consumado,27,Incerto/Desconhecido
2025-BR-3954,Imprensa,7,florai,4107801,Casa do agressor,33,Ex-companheiro/ex-coabitante,Espancamento/golpes,Sim,,2,Tentado,36,Incerto/Desconhecido
2025-BR-4251,Imprensa,9,abatia,4100103,Incerto/Desconhecido,33,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Sim,,2,Tentado,NA,Dia
2025-BR-4256,SINESP,9,apucarana,4101408,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-4269,Imprensa,9,rio branco do sul,4122206,Casa da vítima,37,Parceiro/coabitante/vínculo sexual emocional,Arma de fogo,Sim,1,,Consumado,NA,Noite
2025-BR-4317,Imprensa,9,candoi,4104428,Residência do casal,27,Parceiro/coabitante/vínculo sexual emocional,Espancamento/golpes,Incerto/Desconhecido,,2,Tentado,NA,Dia
2025-BR-4318,Imprensa,9,cascavel,4104808,Residência do casal,48,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Incerto/Desconhecido,1,,Consumado,45,Dia
2025-BR-4345,SINESP,9,cidade gaucha,4105607,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-4346,Imprensa,9,curitiba,4106902,Residência do casal,44,Parceiro/coabitante/vínculo sexual emocional,Espancamento/golpes,Incerto/Desconhecido,1,,Consumado,22,Dia
2025-BR-4370,Imprensa,9,curitiba,4106902,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-4396,SINESP,9,curitiba,4106902,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-4408,SINESP,9,curitiba,4106902,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-4409,Imprensa,9,farol,4107553,Residência do casal,40,Parceiro/coabitante/vínculo sexual emocional,Asfixia/Estrangulamento,Não,,2,Tentado,46,Noite
2025-BR-4410,SINESP,9,fazenda rio grande,4107652,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-4417,SINESP,9,foz do iguacu,4108304,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-4423,Imprensa,9,goioere,4108601,"Espaço público (rua, praça, parque, bar)",34,Membro da família por afiliação,Arma branca,Incerto/Desconhecido,,2,Tentado,NA,Noite
2025-BR-4425,Imprensa,9,iretama,4110805,Casa da vítima,NA,Parceiro/coabitante/vínculo sexual emocional,Arma de fogo,Incerto/Desconhecido,,2,Tentado,NA,Noite
2025-BR-4428,Imprensa,9,ivaipora,4111506,Residência do casal,NA,Parceiro/coabitante/vínculo sexual emocional,Espancamento/golpes,Incerto/Desconhecido,,2,Tentado,NA,Dia
2025-BR-4450,Imprensa,9,jataizinho,4112702,Residência do casal,40,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Sim,1,,Consumado,30,Noite
2025-BR-4465,Imprensa,9,jataizinho,4112702,Casa da vítima,16,Membro da família por afiliação,Arma branca,Não,,2,Tentado,30,Noite
2025-BR-4646,Imprensa,9,londrina,4113700,"Espaço público (rua, praça, parque, bar)",25,Ex-companheiro/ex-coabitante,Arma branca,Incerto/Desconhecido,1,,Consumado,39,Noite
2025-BR-4647,Imprensa,9,nova santa rosa,4117222,Casa da vítima,NA,Ex-companheiro/ex-coabitante,Arma branca,Sim,,2,Tentado,NA,Dia
2025-BR-4648,Imprensa,9,palmas,4117602,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-4649,Imprensa,9,palmeira,4117701,Casa da vítima,NA,Parceiro/coabitante/vínculo sexual emocional,Espancamento/golpes,Sim,,2,Tentado,35,Dia
2025-BR-4650,Imprensa,9,pitanga,4119608,"Espaço público (rua, praça, parque, bar)",20,Ex-companheiro/ex-coabitante,Atropelamento com veículo,Incerto/Desconhecido,,2,Tentado,20,Noite
2025-BR-4651,Imprensa,9,pontal do parana,4119954,Incerto/Desconhecido,35,Ex-companheiro/ex-coabitante,Arma branca,Incerto/Desconhecido,,2,Tentado,35,Dia
2025-BR-4652,Imprensa,9,rio branco do ivai,4122172,"Espaço público (rua, praça, parque, bar)",NA,Ex-companheiro/ex-coabitante,Arma branca,Incerto/Desconhecido,,2,Tentado,NA,Noite
2025-BR-4653,SINESP,9,rolandia,4122404,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-4654,Imprensa,9,rolandia,4122404,Residência do casal,30,Membro da família por afiliação,Arma branca,Incerto/Desconhecido,1,,Consumado,26,Noite
2025-BR-4655,SINESP,9,rosario do ivai,4122651,Incerto/Desconhecido,NA,Incerto/Desconhecido,Incerto/Desconhecido,Incerto/Desconhecido,,2,Tentado,NA,Incerto/Desconhecido
2025-BR-4656,Imprensa,9,salto do lontra,4123006,Incerto/Desconhecido,NA,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Incerto/Desconhecido,,2,Tentado,NA,Dia
2025-BR-4657,Imprensa,9,santo antonio da platina,4124103,Casa da vítima,NA,Ex-companheiro/ex-coabitante,Arma branca,Incerto/Desconhecido,,2,Tentado,21,Noite
2025-BR-4658,Imprensa,9,sao carlos do ivai,4124608,Casa da vítima,25,Ex-companheiro/ex-coabitante,Arma branca,Incerto/Desconhecido,,2,Tentado,NA,Noite
2025-BR-4659,Imprensa,9,sao miguel do iguacu,4125704,Residência do casal,37,Parceiro/coabitante/vínculo sexual emocional,Arma de fogo,Sim,1,,Consumado,37,Incerto/Desconhecido
2025-BR-4660,Imprensa,9,sarandi,4126256,Casa da vítima,41,Ex-companheiro/ex-coabitante,Arma branca,Sim,1,,Consumado,43,Noite
2025-BR-4726,Imprensa,11,paranagua,4118204,Incerto/Desconhecido,31,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Incerto/Desconhecido,1,,Consumado,27,Dia
2025-BR-4756,Imprensa,10,apucarana,4101408,Residência do casal,19,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Incerto/Desconhecido,,2,Tentado,26,Dia
2025-BR-4794,Imprensa,10,apucarana,4101408,Residência do casal,19,Parceiro/coabitante/vínculo sexual emocional,Arma branca,Incerto/Desconhecido,,2,Tentado,26,Dia
2025-BR-4795,Imprensa,10,arapongas,4101507,Hotel/Motel/Pousada/Alojamento,NA,Incerto/Desconhecido,Arma branca,Incerto/Desconhecido,,2,Tentado,NA,Dia
