uf,municipio,evento,data_referencia,vitima
PR,ALMIRANTE TAMANDARÉ,Feminicídio,1/12/2025,0
PR,ALMIRANTE TAMANDARÉ,Tentativa de feminicídio,1/1/2025,0
PR,ALMIRANTE TAMANDARÉ,Tentativa de feminicídio,1/2/2025,0
PR,ALMIRANTE TAMANDARÉ,Tentativa de feminicídio,1/3/2025,1
PR,ALMIRANTE TAMANDARÉ,Tentativa de feminicídio,1/4/2025,0
PR,ALMIRANTE TAMANDARÉ,Tentativa de feminicídio,1/5/2025,0
PR,ALMIRANTE TAMANDARÉ,Tentativa de feminicídio,1/6/2025,0
PR,ALMIRANTE TAMANDARÉ,Tentativa de feminicídio,1/7/2025,0
PR,ALMIRANTE TAMANDARÉ,Tentativa de feminicídio,1/8/2025,0
PR,ALMIRANTE TAMANDARÉ,Tentativa de feminicídio,1/9/2025,0
PR,ALMIRANTE TAMANDARÉ,Tentativa de feminicídio,1/10/2025,0
PR,ALMIRANTE TAMANDARÉ,Tentativa de feminicídio,1/11/2025,0
PR,ALMIRANTE TAMANDARÉ,Tentativa de feminicídio,1/12/2025,1
PR,ALTAMIRA DO PARANÁ,Feminicídio,1/1/2025,0
PR,ALTAMIRA DO PARANÁ,Feminicídio,1/2/2025,0
PR,ALTAMIRA DO PARANÁ,Feminicídio,1/3/2025,0
PR,ALTAMIRA DO PARANÁ,Feminicídio,1/4/2025,0
PR,ALTAMIRA DO PARANÁ,Feminicídio,1/5/2025,0
PR,ALTAMIRA DO PARANÁ,Feminicídio,1/6/2025,0
PR,ALTAMIRA DO PARANÁ,Feminicídio,1/7/2025,0
PR,ALTAMIRA DO PARANÁ,Feminicídio,1/8/2025,0
PR,ALTAMIRA DO PARANÁ,Feminicídio,1/9/2025,0
PR,ALTAMIRA DO PARANÁ,Feminicídio,1/10/2025,0
PR,ALTAMIRA DO PARANÁ,Feminicídio,1/11/2025,0
PR,ALTAMIRA DO PARANÁ,Feminicídio,1/12/2025,0
PR,ALTAMIRA DO PARANÁ,Tentativa de feminicídio,1/1/2025,0
PR,ALTAMIRA DO PARANÁ,Tentativa de feminicídio,1/2/2025,0
PR,ALTAMIRA DO PARANÁ,Tentativa de feminicídio,1/3/2025,0
PR,ALTAMIRA DO PARANÁ,Tentativa de feminicídio,1/4/2025,0
PR,ALTAMIRA DO PARANÁ,Tentativa de feminicídio,1/5/2025,0
PR,ALTAMIRA DO PARANÁ,Tentativa de feminicídio,1/6/2025,0
PR,ALTAMIRA DO PARANÁ,Tentativa de feminicídio,1/7/2025,0
PR,ALTAMIRA DO PARANÁ,Tentativa de feminicídio,1/8/2025,0
PR,ALTAMIRA DO PARANÁ,Tentativa de feminicídio,1/9/2025,0
PR,ALTAMIRA DO PARANÁ,Tentativa de feminicídio,1/10/2025,0
PR,ALTAMIRA DO PARANÁ,Tentativa de feminicídio,1/11/2025,0
PR,ALTAMIRA DO PARANÁ,Tentativa de feminicídio,1/12/2025,0
PR,ALTO PARANÁ,Feminicídio,1/1/2025,0
PR,ALTO PARANÁ,Feminicídio,1/2/2025,0
PR,ALTO PARANÁ,Feminicídio,1/3/2025,0
PR,ALTO PARANÁ,Feminicídio,1/4/2025,0
PR,ALTO PARANÁ,Feminicídio,1/5/2025,0
PR,ALTO PARANÁ,Feminicídio,1/6/2025,0
PR,ALTO PARANÁ,Feminicídio,1/7/2025,0
PR,ALTO PARANÁ,Feminicídio,1/8/2025,0
PR,ALTO PARANÁ,Feminicídio,1/9/2025,0
PR,ALTO PARANÁ,Feminicídio,1/10/2025,0
PR,ALTO PARANÁ,Feminicídio,1/11/2025,0
PR,ALTO PARANÁ,Feminicídio,1/12/2025,0
PR,ALTO PARANÁ,Tentativa de feminicídio,1/1/2025,0
PR,ALTO PARANÁ,Tentativa de feminicídio,1/2/2025,0
PR,ALTO PARANÁ,Tentativa de feminicídio,1/3/2025,0
PR,ALTO PARANÁ,Tentativa de feminicídio,1/4/2025,0
PR,ALTO PARANÁ,Tentativa de feminicídio,1/5/2025,0
PR,ALTO PARANÁ,Tentativa de feminicídio,1/6/2025,0
PR,ALTO PARANÁ,Tentativa de feminicídio,1/7/2025,0
PR,ALTO PARANÁ,Tentativa de feminicídio,1/8/2025,0
PR,ALTO PARANÁ,Tentativa de feminicídio,1/9/2025,0
PR,ALTO PARANÁ,Tentativa de feminicídio,1/10/2025,0
PR,ALTO PARANÁ,Tentativa de feminicídio,1/11/2025,0
PR,ALTO PARANÁ,Tentativa de feminicídio,1/12/2025,0
PR,ALTO PARAÍSO,Feminicídio,1/1/2025,0
PR,ALTO PARAÍSO,Feminicídio,1/2/2025,0
PR,ALTO PARAÍSO,Feminicídio,1/3/2025,0
PR,ALTO PARAÍSO,Feminicídio,1/4/2025,0
PR,ALTO PARAÍSO,Feminicídio,1/5/2025,0
PR,ALTO PARAÍSO,Feminicídio,1/6/2025,0
PR,ALTO PARAÍSO,Feminicídio,1/7/2025,0
PR,ALTO PARAÍSO,Feminicídio,1/8/2025,0
PR,ALTO PARAÍSO,Feminicídio,1/9/2025,0
PR,ALTO PARAÍSO,Feminicídio,1/10/2025,0
PR,ALTO PARAÍSO,Feminicídio,1/11/2025,0
PR,ALTO PARAÍSO,Feminicídio,1/12/2025,0
PR,ALTO PARAÍSO,Tentativa de feminicídio,1/1/2025,0
PR,ALTO PARAÍSO,Tentativa de feminicídio,1/2/2025,0
PR,ALTO PARAÍSO,Tentativa de feminicídio,1/3/2025,0
PR,ALTO PARAÍSO,Tentativa de feminicídio,1/4/2025,0
PR,ALTO PARAÍSO,Tentativa de feminicídio,1/5/2025,0
PR,ALTO PARAÍSO,Tentativa de feminicídio,1/6/2025,0
PR,ALTO PARAÍSO,Tentativa de feminicídio,1/7/2025,0
PR,ALTO PARAÍSO,Tentativa de feminicídio,1/8/2025,0
PR,ALTO PARAÍSO,Tentativa de feminicídio,1/9/2025,0
PR,ALTO PARAÍSO,Tentativa de feminicídio,1/10/2025,0
PR,ALTO PARAÍSO,Tentativa de feminicídio,1/11/2025,0
PR,ALTO PARAÍSO,Tentativa de feminicídio,1/12/2025,0
PR,ALTO PIQUIRI,Feminicídio,1/1/2025,0
PR,ALTO PIQUIRI,Feminicídio,1/2/2025,0
PR,ALTO PIQUIRI,Feminicídio,1/3/2025,0
PR,ALTO PIQUIRI,Feminicídio,1/4/2025,0
PR,ALTO PIQUIRI,Feminicídio,1/5/2025,0
PR,ALTO PIQUIRI,Feminicídio,1/6/2025,0
PR,ALTO PIQUIRI,Feminicídio,1/7/2025,0
PR,ALTO PIQUIRI,Feminicídio,1/8/2025,0
PR,ALTO PIQUIRI,Feminicídio,1/9/2025,0
PR,ALTO PIQUIRI,Feminicídio,1/10/2025,0
PR,ALTO PIQUIRI,Feminicídio,1/11/2025,0
PR,ALTO PIQUIRI,Feminicídio,1/12/2025,0
PR,ALTO PIQUIRI,Tentativa de feminicídio,1/1/2025,0
PR,ALTO PIQUIRI,Tentativa de feminicídio,1/2/2025,0
PR,ALTO PIQUIRI,Tentativa de feminicídio,1/3/2025,0
PR,ALTO PIQUIRI,Tentativa de feminicídio,1/4/2025,0
PR,ALTO PIQUIRI,Tentativa de feminicídio,1/5/2025,0
PR,ALTO PIQUIRI,Tentativa de feminicídio,1/6/2025,0
PR,ALTO PIQUIRI,Tentativa de feminicídio,1/7/2025,0
PR,ALTO PIQUIRI,Tentativa de feminicídio,1/8/2025,0
PR,ALTO PIQUIRI,Tentativa de feminicídio,1/9/2025,0
PR,ALTO PIQUIRI,Tentativa de feminicídio,1/10/2025,0
PR,ALTO PIQUIRI,Tentativa de feminicídio,1/11/2025,0
PR,ALTO PIQUIRI,Tentativa de feminicídio,1/12/2025,0
PR,ALTÔNIA,Feminicídio,1/1/2025,0
PR,ALTÔNIA,Feminicídio,1/2/2025,0
PR,ALTÔNIA,Feminicídio,1/3/2025,0
PR,ALTÔNIA,Feminicídio,1/4/2025,0
PR,ALTÔNIA,Feminicídio,1/5/2025,0
PR,ALTÔNIA,Feminicídio,1/6/2025,0
PR,ALTÔNIA,Feminicídio,1/7/2025,0
PR,ALTÔNIA,Feminicídio,1/8/2025,0
PR,ALTÔNIA,Feminicídio,1/9/2025,0
PR,ALTÔNIA,Feminicídio,1/10/2025,0
PR,ALTÔNIA,Feminicídio,1/11/2025,0
PR,ALTÔNIA,Feminicídio,1/12/2025,0
PR,ALTÔNIA,Tentativa de feminicídio,1/1/2025,0
PR,ALTÔNIA,Tentativa de feminicídio,1/2/2025,0
PR,ALTÔNIA,Tentativa de feminicídio,1/3/2025,0
PR,ALTÔNIA,Tentativa de feminicídio,1/4/2025,0
PR,ALTÔNIA,Tentativa de feminicídio,1/5/2025,0
PR,ALTÔNIA,Tentativa de feminicídio,1/6/2025,0
PR,ALTÔNIA,Tentativa de feminicídio,1/7/2025,0
PR,ALTÔNIA,Tentativa de feminicídio,1/8/2025,0
PR,ALTÔNIA,Tentativa de feminicídio,1/9/2025,0
PR,ALTÔNIA,Tentativa de feminicídio,1/10/2025,0
PR,ALTÔNIA,Tentativa de feminicídio,1/11/2025,0
PR,ALTÔNIA,Tentativa de feminicídio,1/12/2025,0
PR,ALVORADA DO SUL,Feminicídio,1/1/2025,0
PR,ALVORADA DO SUL,Feminicídio,1/2/2025,0
PR,ALVORADA DO SUL,Feminicídio,1/3/2025,0
PR,ALVORADA DO SUL,Feminicídio,1/4/2025,0
PR,ALVORADA DO SUL,Feminicídio,1/5/2025,0
PR,ALVORADA DO SUL,Feminicídio,1/6/2025,0
PR,ALVORADA DO SUL,Feminicídio,1/7/2025,0
PR,ALVORADA DO SUL,Feminicídio,1/8/2025,0
PR,ALVORADA DO SUL,Feminicídio,1/9/2025,0
PR,ALVORADA DO SUL,Feminicídio,1/10/2025,0
PR,ALVORADA DO SUL,Feminicídio,1/11/2025,0
PR,ALVORADA DO SUL,Feminicídio,1/12/2025,0
PR,ALVORADA DO SUL,Tentativa de feminicídio,1/1/2025,0
PR,ALVORADA DO SUL,Tentativa de feminicídio,1/2/2025,0
PR,ALVORADA DO SUL,Tentativa de feminicídio,1/3/2025,0
PR,ALVORADA DO SUL,Tentativa de feminicídio,1/4/2025,0
PR,ALVORADA DO SUL,Tentativa de feminicídio,1/5/2025,0
PR,ALVORADA DO SUL,Tentativa de feminicídio,1/6/2025,0
PR,ALVORADA DO SUL,Tentativa de feminicídio,1/7/2025,0
PR,ALVORADA DO SUL,Tentativa de feminicídio,1/8/2025,0
PR,ALVORADA DO SUL,Tentativa de feminicídio,1/9/2025,0
PR,ALVORADA DO SUL,Tentativa de feminicídio,1/10/2025,0
PR,ALVORADA DO SUL,Tentativa de feminicídio,1/11/2025,0
PR,ALVORADA DO SUL,Tentativa de feminicídio,1/12/2025,0
PR,AMAPORÃ,Feminicídio,1/1/2025,0
PR,AMAPORÃ,Feminicídio,1/2/2025,0
PR,AMAPORÃ,Feminicídio,1/3/2025,0
PR,AMAPORÃ,Feminicídio,1/4/2025,0
PR,AMAPORÃ,Feminicídio,1/5/2025,0
PR,AMAPORÃ,Feminicídio,1/6/2025,0
PR,AMAPORÃ,Feminicídio,1/7/2025,0
PR,AMAPORÃ,Feminicídio,1/8/2025,0
PR,AMAPORÃ,Feminicídio,1/9/2025,0
PR,AMAPORÃ,Feminicídio,1/10/2025,0
PR,AMAPORÃ,Feminicídio,1/11/2025,0
PR,AMAPORÃ,Feminicídio,1/12/2025,0
PR,AMAPORÃ,Tentativa de feminicídio,1/1/2025,0
PR,AMAPORÃ,Tentativa de feminicídio,1/2/2025,0
PR,AMAPORÃ,Tentativa de feminicídio,1/3/2025,0
PR,AMAPORÃ,Tentativa de feminicídio,1/4/2025,0
PR,AMAPORÃ,Tentativa de feminicídio,1/5/2025,0
PR,AMAPORÃ,Tentativa de feminicídio,1/6/2025,0
PR,AMAPORÃ,Tentativa de feminicídio,1/7/2025,0
PR,AMAPORÃ,Tentativa de feminicídio,1/8/2025,0
PR,AMAPORÃ,Tentativa de feminicídio,1/9/2025,0
PR,AMAPORÃ,Tentativa de feminicídio,1/10/2025,0
PR,AMAPORÃ,Tentativa de feminicídio,1/11/2025,0
PR,AMAPORÃ,Tentativa de feminicídio,1/12/2025,0
PR,AMPÉRE,Feminicídio,1/1/2025,0
PR,AMPÉRE,Feminicídio,1/2/2025,0
